,device_id,datetime,address_ip,address_port,original_message_id,status,lat,lat_dir,lon,lon_dir,spd_over_grnd,true_course,datestamp,mag_variation,mag_var_dir
0,0001,2019-02-13 14:09:59,172.19.0.17,4007,1550070599576-0,A,51.31830816666667,N,4.315722166666666,E,0.0,1.59,150218,0.8,E
1,0001,2019-02-13 14:21:01,172.19.0.16,4007,1550071261429-0,A,51.31830816666667,N,4.315722166666666,E,0.0,1.59,150218,0.8,E
2,0001,2019-02-13 14:10:48,172.19.0.17,4007,1550070648974-0,A,51.3183085,N,4.315720833333334,E,0.0,5.25,150218,0.8,E
3,0001,2019-02-13 14:43:54,172.19.0.16,4007,1550072634730-0,A,51.3183085,N,4.315720833333334,E,0.0,5.25,150218,0.8,E
4,0001,2019-02-13 14:54:56,172.19.0.16,4007,1550073296534-0,A,51.3183085,N,4.315720833333334,E,0.0,5.25,150218,0.8,E
5,0001,2019-02-13 14:11:51,172.19.0.17,4007,1550070711545-0,A,51.31830766666667,N,4.315721666666667,E,0.0,2.0,150218,0.8,E
6,0001,2019-02-13 13:11:25,172.19.0.11,4007,1550067085998-0,A,51.31830766666667,N,4.315721666666667,E,0.0,2.0,150218,0.8,E
7,0001,2019-02-13 13:11:29,172.19.0.11,4007,1550067089579-0,A,51.31830766666667,N,4.315721666666667,E,0.0,1.56,150218,0.8,E
8,0001,2019-02-13 14:33:58,172.19.0.16,4007,1550072038921-0,A,51.31830766666667,N,4.315721666666667,E,0.0,1.56,150218,0.8,E
22,st-1a2090,2019-02-13 17:46:44,172.24.0.1,4007,1550083604947-0,A,51.690416166666665,N,4.4091016666666665,E,0.0,0.59,130219,1.0,E
23,st-1a2090,2019-02-13 17:46:46,172.24.0.1,4007,1550083606350-0,A,51.690416166666665,N,4.4091016666666665,E,0.0,4.29,130219,1.0,E
24,st-1a2090,2019-02-11 23:03:45,192.168.240.1,4007,1549929825863-0,A,50.98073566666667,N,6.977534,E,0.0,71.36,120219,1.8,E
25,st-1a2090,2019-02-14 00:54:50,172.24.0.1,4007,1550109290906-0,A,51.683604333333335,N,4.3930221666666665,E,0.0,76.12,140219,1.0,E
26,st-1a2090,2019-02-14 00:54:51,172.24.0.1,4007,1550109291386-0,A,51.6836045,N,4.393022,E,0.0,76.6,140219,1.0,E
27,st-1a2090,2019-02-14 00:54:51,172.24.0.1,4007,1550109291885-0,A,51.6836045,N,4.393022,E,0.0,73.99,140219,1.0,E
28,st-1a2090,2019-02-13 10:07:16,172.23.0.1,4007,1550056036964-0,A,51.903500666666666,N,5.5429625,E,0.0,50.12,130219,1.4,E
29,st-1a2090,2019-02-13 10:07:17,172.23.0.1,4007,1550056037556-0,A,51.903500666666666,N,5.5429623333333335,E,0.0,51.42,130219,1.4,E
30,st-1a2090,2019-02-13 10:38:56,172.23.0.1,4007,1550057936361-0,A,51.90100533333333,N,5.541885333333333,E,0.0,22.79,130219,1.4,E
31,st-1a2090,2019-02-13 10:38:58,172.23.0.1,4007,1550057938282-1,A,51.90100533333333,N,5.541885333333333,E,0.0,42.22,130219,1.4,E
32,st-1a2090,2019-02-13 10:38:58,172.23.0.1,4007,1550057938507-0,A,51.90100533333333,N,5.541885333333333,E,0.0,42.35,130219,1.4,E
33,st-1a2090,2019-02-13 10:38:58,172.23.0.1,4007,1550057938862-0,A,51.90100533333333,N,5.541885333333333,E,0.0,40.21,130219,1.4,E
34,st-1a2090,2019-02-13 10:38:59,172.23.0.1,4007,1550057939965-0,A,51.90100533333333,N,5.541885166666667,E,0.0,33.43,130219,1.4,E
35,st-1a2090,2019-02-13 10:39:03,172.23.0.1,4007,1550057943365-0,A,51.90100533333333,N,5.541885166666667,E,0.0,17.97,130219,1.4,E
36,st-1a2090,2019-02-13 10:39:04,172.23.0.1,4007,1550057944624-0,A,51.90100533333333,N,5.541885166666667,E,0.0,23.71,130219,1.4,E
37,st-1a2090,2019-02-13 10:39:05,172.23.0.1,4007,1550057945042-0,A,51.901005166666664,N,5.541885166666667,E,0.0,31.1,130219,1.4,E
38,st-1a2090,2019-02-13 10:39:05,172.23.0.1,4007,1550057945872-0,A,51.901005166666664,N,5.541885,E,0.0,37.99,130219,1.4,E
39,st-1a2090,2019-02-13 10:39:06,172.23.0.1,4007,1550057946363-0,A,51.901005166666664,N,5.541885166666667,E,0.0,42.78,130219,1.4,E
40,st-1a2090,2019-02-13 10:39:08,172.23.0.1,4007,1550057948330-0,A,51.901005166666664,N,5.541885166666667,E,0.0,30.55,130219,1.4,E
41,st-1a2090,2019-02-13 10:39:08,172.23.0.1,4007,1550057948558-0,A,51.901005166666664,N,5.541885166666667,E,0.0,28.74,130219,1.4,E
